identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
1826044,SP115/10,WHOLE SERIES,Certificates Exempting from the provisions of 'The Influx of Chinese Restriction Act 1881',1884 - 1888,1884,1888,Open,Sydney,False,0
11014873,SP115/10,804,Ah Luck [box 1],1884 - 1884,1884,1884,Open,Sydney,False,0
12145978,SP115/10,800,Ah See [box 1],1884 - 1884,1884,1884,Open,Sydney,False,0
12187508,SP115/10,1092,Ah Gee [box 1],1885 - 1885,1885,1885,Open,Sydney,False,0
12255210,SP115/10,1643,Ah Kum [box 1],1886 - 1886,1886,1886,Open,Sydney,False,0
12255238,SP115/10,1136,Ah Gow [box 1],1885 - 1885,1885,1885,Open,Sydney,False,0
